uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off,cluster
UON,1263101,Bachelor of Arts,,28.547,25,3
UON,1263102,Bachelor of Architectural Studies/bachelor of Architecture,,45.341,45.328,10
UON,1263103,Bachelor of Quantity Surveying,,44.861,44.742,10
UON,1263105,Bachelor of Arts (Design),,40.876,40.436,14
UON,1263106,Bachelor of Arts (Anthropology),,23,25,3
UON,1263107,Bachelor of Science (Actuarial Science),,44.88,45.053,7
UON,1263108,Bachelor of Science (Industrial Chemistry),,41.916,43.637,9
UON,1263109,Bachelor of Science (Mathematics),,40.922,41.098,11
UON,1263110,Bachelor of Science (Meteorology),,31.016,31.939,8
UON,1263111,Bachelor of Science (Biology),,36.747,36.323,18
UON,1263112,Bachelor of Science (Biochemistry),,42.966,43.932,18
UON,1263113,Bachelor of Science (Geology),,34.972,37.264,8
UON,1263115,Bachelor of Science (Computer Science),,44.824,44.774,11
UON,1263116,Bachelor of Science (Civil Engineering),,45.214,45.278,9
UON,1263117,Bachelor of Science (Electrical and Electronic Engineering),,45.006,45.365,9
UON,1263118,Bachelor of Science (Mechanical Engineering),,44.51,44.481,9
UON,1263119,Bachelor of Science (Geospatial Engineering),,43.896,43.632,9
UON,1263120,Bachelor of Science (B.sc),,33.529,29.26,13
UON,1263121,Bachelor of Science (Biosystems Engineering),,41.776,41.001,9
UON,1263122,Bachelor of Science (Agriculture),,33.719,32.085,20
UON,1263124,Bachelor of Science (Food Science and Technology),,40.504,40.371,20
UON,1263125,Bachelor of Science (Range Management),,28.399,26.93,20
UON,1263126,Bachelor of Science (Microprocessor Technology and Instrumentation),,41.802,42.522,4
UON,1263127,Bachelor of Science (Astronomy and Astrophysics),,37.585,39.207,4
UON,1263128,Bachelor of Dental Surgery,,45.465,45.467,18
UON,1263129,Bachelor of Pharmacy,,45.158,45.171,18
UON,1263130,Bachelor of Veterinary Medicine,,41.814,41.514,18
UON,1263131,Bachelor of Medicine and Bachelor of Surgery,,45.358,45.953,18
UON,1263132,Bachelor of Science (Nursing),,44.407,44.745,18
UON,1263133,Bachelor of Commerce (B.Com),,42.043,41.926,7
UON,1263134,Bachelor of Laws (LLB),,43.481,43.343,1
UON,1263135,Bachelor of Education (Arts),,37.159,36.917,3
UON,1263137,Bachelor of Education (Science),,39.343,33.903,13
UON,1263143,Bachelor of Science (Wildlife Management),,33.549,34.531,20
UON,1263146,Bachelor of Economics,,42.598,42.403,7
UON,1263163,Bachelor of Science (Statistics),,43.135,43.077,7
UON,1263165,Bachelor of Arts (Planning),,42.026,41.638,14
UON,1263176,Bachelor of Construction Management,,43.381,43.348,10
UON,1263180,Bachelor of Education (Early Childhood Education),,28.868,31.847,3
UON,1263184,Bachelor of Science (Management of Agro-ecosystem and Environment),,28.536,29.801,20
UON,1263185,Bachelor of Science (Horticulture),,35.131,33.517,20
UON,1263186,Bachelor of Science (Environmental Conservation and Natural Resources Management),,36.657,36.436,20
UON,1263187,Bachelor of Science (Agribusiness Management),,39.364,38.397,12
UON,1263190,Bachelor of Science (Food Nutrition and Dietetics),,41.209,41.388,20
UON,1263194,Bachelor of Science (Medical Laboratory Science & Technology),,43.654,44.272,18
UON,1263199,Bachelor of Economics and Statistics,,43.698,43.652,7
UON,1263278,Bachelor of Science (Microbiology and Biotechnology),,40.132,33.161,18
UON,1263300,Bachelor of Real Estate,,44.111,43.997,14
UON,1263316,Bachelor of Education (Physical Education and Sports),,30.073,28.854,16
UON,1263417,Bachelor of Science (Agricultural Education and Extension),,37.685,36.707,20
UON,1263440,Bachelor of Education (ICT),,35.807,35.788,11
UON,1263460,Bachelor of Science (Leather Technology),,28.717,29.032,20
UON,1263513,Bachelor of Science (Chemistry),,30.238,36.943,9
UON,1263515,Bachelor of Science (Fisheries and Aquaculture Management),,32.965,31.724,20
KU,1111101,Bachelor of Arts,,29.97,32.142,3
KU,1111102,Bachelor of Architecture,,44.129,,10
KU,1111107,Bachelor of Science (Actuarial Science),,44.352,44.718,7
KU,1111111,Bachelor of Science (Biology),,36.199,35.363,18
KU,1111112,Bachelor of Science (Biochemistry),,42.284,42.942,18
KU,1111114,Bachelor of Science (Analytical Chemistry With Management),,39.513,41.37,9
